meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.145081277,0.081467057,0.130244193,0.080881477,0.231137582,0.150256105,2.05894961,8.899677752,0.958601919,0.700000861,0.13157832,0.145081277,0.123951971,0.016718913,0.271186441,0.237723214,0.0234375,2.5625,2.5390625,0.117389277,male
0.142227705,0.081180854,0.132924962,0.074609495,0.220969883,0.146360388,1.52982061,5.947477049,0.968885342,0.755372707,0.1283512,0.142227705,0.120882635,0.038004751,0.258064516,0.280704942,0.015625,3.578125,3.5625,0.102856226,male
0.161510657,0.075799496,0.141584276,0.113234068,0.232304943,0.119070876,1.574437622,5.420399706,0.948011739,0.6349744,0.135247171,0.161510657,0.125204637,0.015888779,0.271186441,0.149445565,0.0078125,0.5390625,0.53125,0.147058824,male
0.155400584,0.078829326,0.142918404,0.107897558,0.233305539,0.125407981,1.471431229,5.231875597,0.961965468,0.718330029,0.114568195,0.155400584,0.117381316,0.021024967,0.242424242,0.505040323,0.015625,3.78125,3.765625,0.154426003,male
0.148852764,0.078437337,0.143418702,0.109565217,0.213793925,0.104228708,2.347402307,9.571507962,0.949089387,0.661917637,0.137415128,0.148852764,0.139225938,0.016260163,0.275862069,0.427671371,0,4.265625,4.265625,0.121062271,male
0.162659635,0.08074299,0.150589637,0.112400238,0.237307921,0.124907683,1.66077383,5.537117398,0.951061776,0.66424047,0.119571173,0.162659635,0.124306253,0.04519774,0.275862069,0.425260417,0,4.2265625,4.2265625,0.125693161,male
0.165504621,0.082040442,0.151923764,0.111733175,0.241977367,0.130244193,1.350792515,4.324075328,0.955406261,0.672834816,0.136247767,0.165504621,0.116643723,0.01992528,0.23880597,0.380859375,0.015625,2.8125,2.796875,0.119490999,male
0.165380787,0.066620192,0.14940499,0.115547025,0.228944338,0.113397313,1.411882875,5.234582155,0.944186462,0.63660898,0.117159309,0.165380787,0.128738927,0.047105005,0.275862069,0.143465909,0,0.4921875,0.4921875,0.188644689,male
0.168001742,0.061122705,0.170914826,0.11659306,0.218611987,0.102018927,1.278603795,4.771127967,0.94401631,0.614896641,0.102018927,0.168001742,0.122536628,0.048533873,0.272727273,1.01953125,0.5625,1.453125,0.890625,0.077915377,male
0.200759288,0.071869268,0.218951295,0.185235233,0.252203109,0.066967876,1.855719556,7.168239415,0.929493848,0.453682355,0.272049741,0.200759288,0.159484653,0.047105005,0.277456647,1.001953125,0,19.0546875,19.0546875,0.050678215,male
0.220854643,0.040990748,0.226325879,0.1914377,0.256741214,0.065303514,1.15205856,3.160254715,0.877923634,0.21607978,0.207539936,0.220854643,0.130747477,0.048582996,0.274285714,0.994959677,0,3.1640625,3.1640625,0.184900285,male
0.204231699,0.053701554,0.207391304,0.178695652,0.247826087,0.069130435,1.375587348,4.327260874,0.907628937,0.411757739,0.181304348,0.204231699,0.144398214,0.047012733,0.251308901,0.929496951,0.3984375,1.359375,0.9609375,0.113414634,male
0.191680662,0.051363598,0.197037037,0.154814815,0.232592593,0.077777778,2.333772568,8.844980271,0.880780787,0.402146549,0.225925926,0.191680662,0.144710196,0.056470588,0.274285714,1.063476563,0.3984375,3.5625,3.1640625,0.111755233,male
0.224785962,0.04554262,0.235789474,0.212701754,0.255733333,0.043031579,1.932497824,6.173675482,0.895622689,0.300136845,0.249838596,0.224785962,0.138892507,0.04719764,0.279069767,1.033641582,0.2578125,3.046875,2.7890625,0.099952657,male
0.191734847,0.072379557,0.214391144,0.14,0.256236162,0.116236162,1.841150253,6.776154016,0.935040357,0.60094675,0.256752768,0.191734847,0.121212585,0.047151277,0.271186441,0.930959302,0,1.1015625,1.1015625,0.043059777,male
0.17240858,0.063286435,0.175836177,0.135221843,0.2221843,0.086962457,1.25707651,4.754731759,0.95238363,0.659449003,0.189215017,0.17240858,0.128230347,0.046920821,0.274285714,0.88962766,0.375,1.453125,1.078125,0.130907372,male
0.184362106,0.062317486,0.188283028,0.142978723,0.235111331,0.092132608,0.920585782,3.234797411,0.956667092,0.636580306,0.240237506,0.184362106,0.160091563,0.04719764,0.279069767,0.831226145,0,3.5859375,3.5859375,0.042452537,male
0.160737182,0.063530301,0.161911903,0.099194002,0.216232427,0.117038425,1.409247412,5.752886305,0.940499273,0.494559653,0.083448922,0.160737182,0.101481598,0.047105005,0.274285714,0.513616071,0,1.1015625,1.1015625,0.086457278,male
0.147154367,0.067947735,0.142355769,0.083798077,0.202596154,0.118798077,1.251353965,5.668962215,0.955154758,0.641434934,0.077067308,0.147154367,0.116596549,0.047058824,0.277456647,0.747209821,0,1.828125,1.828125,0.179086538,male
0.17467542,0.071653132,0.184193297,0.122322681,0.235588465,0.113265783,0.864588012,3.490942028,0.966747929,0.704749914,0.250101325,0.17467542,0.124818228,0.046966732,0.279069767,0.777261513,0,17.25,17.25,0.016084019,male
0.176823969,0.060063609,0.150796915,0.127043702,0.236452442,0.10940874,1.745365586,6.112598255,0.908529707,0.35313523,0.124524422,0.176823969,0.123888946,0.047058824,0.272727273,0.149286685,0,0.2578125,0.2578125,0.244755245,male
0.173385091,0.056091176,0.162183755,0.129374168,0.222583222,0.093209055,1.097914246,3.927934751,0.930093605,0.44726812,0.137203728,0.173385091,0.123805446,0.047808765,0.275862069,0.158691406,0,0.2578125,0.2578125,0.238095238,male
0.190502583,0.045231185,0.191888112,0.167738928,0.216037296,0.048298368,1.795873969,6.425910225,0.898428735,0.374615815,0.192540793,0.190502583,0.138028146,0.047244094,0.274285714,0.181919643,0,0.4921875,0.4921875,0.175824176,male
0.196670941,0.056841002,0.199565647,0.171924975,0.241579467,0.069654492,1.351897269,4.30924418,0.932391259,0.52720561,0.194037512,0.196670941,0.131406501,0.048681542,0.275862069,0.234375,0,0.3984375,0.3984375,0.226579521,male
0.164021234,0.043637616,0.155909091,0.140795455,0.180170455,0.039375,2.238336184,8.52624034,0.875842586,0.317146369,0.150738636,0.164021234,0.13098795,0.047244094,0.272727273,0.173295455,0,0.5390625,0.5390625,0.102006689,male
0.189562135,0.056496477,0.177245283,0.143698113,0.247245283,0.10354717,1.116729527,3.586253534,0.919119922,0.37762852,0.147396226,0.189562135,0.134839572,0.047384008,0.279069767,0.390767045,0,1.6171875,1.6171875,0.064902331,male
0.146088355,0.057759805,0.141246964,0.097036437,0.187497976,0.090461538,2.650678467,10.75523886,0.910962469,0.479210006,0.09794332,0.146088355,0.095705091,0.046920821,0.275862069,0.421875,0,1.546875,1.546875,0.148830073,male
0.148517662,0.060988937,0.126792453,0.102138365,0.20427673,0.102138365,2.201873073,9.463105473,0.92960785,0.547611894,0.106247379,0.148517662,0.136240988,0.049740933,0.275862069,0.310202206,0,1.453125,1.453125,0.177419355,male
0.157796726,0.0477327,0.147203579,0.130917226,0.162237136,0.031319911,2.26652723,7.763146441,0.852413419,0.25512369,0.13655481,0.157796726,0.147929526,0.062256809,0.272727273,0.137695313,0,0.609375,0.609375,0.149797571,male
0.173047635,0.039477231,0.17450237,0.150616114,0.193744076,0.043127962,1.837572743,6.046874937,0.878340768,0.328430586,0.168530806,0.173047635,0.149800899,0.051172708,0.274285714,0.1265625,0,0.1875,0.1875,0.541666667,male
0.241286145,0.039920858,0.254138287,0.2325387,0.262807018,0.030268318,2.639825198,9.754378204,0.85628912,0.213532983,0.258328173,0.241286145,0.163380487,0.046920821,0.279069767,0.608890086,0,4.640625,4.640625,0.083744421,male
0.220960423,0.053962337,0.2352,0.19936,0.260586667,0.061226667,2.450901701,9.426276545,0.877665662,0.380454879,0.28,0.220960423,0.140699133,0.048533873,0.277456647,0.3671875,0.1875,1.4765625,1.2890625,0.171717172,male
0.220960423,0.053962337,0.2352,0.19936,0.260586667,0.061226667,2.450901701,9.426276545,0.877665662,0.380454879,0.28,0.220960423,0.140699133,0.048533873,0.277456647,0.3671875,0.1875,1.4765625,1.2890625,0.171717172,male
0.174254591,0.042701079,0.176,0.156,0.1992,0.0432,2.075284468,7.15670674,0.88768642,0.436707177,0.1696,0.174254591,0.14960704,0.048435923,0.251308901,0.212402344,0.1171875,0.46875,0.3515625,0.222222222,male
0.173997123,0.05363253,0.172958963,0.132440605,0.213477322,0.081036717,1.144429498,4.347706937,0.933854145,0.460313571,0.186263499,0.173997123,0.138741332,0.046920821,0.271186441,0.565482955,0,0.9375,0.9375,0.244270833,male
0.147389399,0.055598773,0.127221095,0.106490872,0.187423935,0.080933063,2.344498807,9.139775687,0.916736854,0.460020968,0.112170385,0.147389399,0.122407068,0.046920821,0.279069767,0.489630682,0,1.6875,1.6875,0.113224638,male
0.162917957,0.057286662,0.161579618,0.117350318,0.204738854,0.087388535,1.126596482,3.677624364,0.93828831,0.558312228,0.109859873,0.162917957,0.121384927,0.04743083,0.277456647,0.496760671,0,1.3828125,1.3828125,0.189736347,male
0.145726092,0.056375947,0.132307692,0.105230769,0.186461538,0.081230769,1.631669153,5.707387182,0.93510298,0.577288066,0.099692308,0.145726092,0.129937952,0.049079755,0.277456647,0.321957237,0,1.40625,1.40625,0.288461538,male
0.138806255,0.059315856,0.126350975,0.09632312,0.180167131,0.083844011,1.678180627,5.885146125,0.939257375,0.600453366,0.109972145,0.138806255,0.142237609,0.047571853,0.274285714,0.5971875,0,1.265625,1.265625,0.266666667,male
0.142322016,0.086019264,0.136682464,0.066350711,0.218957346,0.152606635,1.68226391,7.465857714,0.966271451,0.794002866,0.132037915,0.142322016,0.124547959,0.050955414,0.253968254,0.396169355,0.046875,0.984375,0.9375,0.035,male
0.151512,0.083848861,0.157317437,0.086378539,0.224500745,0.138122206,1.32479451,6.535301893,0.969366978,0.782602605,0.007511177,0.151512,0.10851418,0.047713718,0.271186441,0.938476563,0,1.3359375,1.3359375,0.078760732,male
0.152168898,0.078722448,0.15627907,0.100387597,0.217596899,0.117209302,1.687541493,6.736755147,0.956481951,0.731204943,0.100930233,0.152168898,0.118469317,0.048192771,0.274285714,0.62195122,0,1.1015625,1.1015625,0.117021277,male
0.142000826,0.080365553,0.15673913,0.080652174,0.200108696,0.119456522,2.930062729,16.38280308,0.954157825,0.75758939,0.008369565,0.142000826,0.143400919,0.047151277,0.274285714,1.1634375,0.609375,1.5,0.890625,0.168859649,male
0.162234135,0.086185804,0.179701493,0.087761194,0.241923715,0.154162521,2.217174648,10.99811773,0.963460516,0.771915375,0.007893864,0.162234135,0.107162656,0.046966732,0.259459459,0.890625,0,2.34375,2.34375,0.088,male
0.145916885,0.074309511,0.148776119,0.086925373,0.206447761,0.119522388,2.140909706,9.246003155,0.950828136,0.733978532,0.082746269,0.145916885,0.102351214,0.047619048,0.258064516,0.516644022,0,1.3125,1.3125,0.147727273,male
0.20265981,0.070956089,0.231947195,0.170033003,0.251353135,0.081320132,1.475046655,4.437449212,0.929056608,0.578073188,0.240726073,0.20265981,0.10943287,0.049180328,0.277456647,0.310546875,0,1.5234375,1.5234375,0.134615385,male
0.195987444,0.057544905,0.210245614,0.171929825,0.235789474,0.063859649,1.888458578,6.743133392,0.903008738,0.520548185,0.229894737,0.195987444,0.185626451,0.064171123,0.269662921,0.962109375,0.1171875,1.6171875,1.5,0.186631944,male
0.116098095,0.088126759,0.109666667,0.0315,0.197166667,0.165666667,1.415911381,5.472982455,0.967856919,0.824622269,0.0105,0.116098095,0.141694585,0.052251185,0.272222222,1.789789177,1.248925781,2.347119141,1.098193359,0.111519608,female
0.110334122,0.094037927,0.075331695,0.026142506,0.202604423,0.176461916,3.641154244,22.61936365,0.947647265,0.706632813,0.018918919,0.110334122,0.199896827,0.052173913,0.279069767,1.358258929,0.984375,1.6875,0.703125,0.041397849,female
0.026076564,0.047642626,0.009710983,0.008092486,0.01699422,0.008901734,8.011172542,77.54379733,0.651263509,0.175879346,0.008901734,0.026076564,0.147402533,0.049281314,0.279069767,1.965,0,2.25,2.25,0.069010417,female
0.186557214,0.063706375,0.190326087,0.140869565,0.241847826,0.100978261,5.630529083,77.03456088,0.944693699,0.579205783,0.240217391,0.186557214,0.197825464,0.047571853,0.279069767,1.244820927,0,5.71875,5.71875,0.038634838,female
0.09040923,0.104193101,0.026109137,0.008137152,0.20606314,0.197925988,9.158834552,123.9581242,0.881424605,0.36038245,0.005561363,0.09040923,0.160529297,0.04719764,0.279069767,0.501785714,0,3.046875,3.046875,0.144318182,female
0.069187673,0.095822485,0.01588994,0.006741187,0.089320722,0.082579536,10.74918852,151.6629229,0.825436727,0.331221561,0.006139295,0.069187673,0.162903994,0.047384008,0.279069767,0.406575521,0,2.25,2.25,0.175520833,female
0.082543199,0.096182584,0.024411191,0.006922576,0.163773585,0.156851008,8.855551332,102.9339647,0.873115733,0.489938821,0.005829538,0.082543199,0.17913957,0.051891892,0.279069767,0.448304521,0,1.6875,1.6875,0.235702614,female
0.070265745,0.090646601,0.020279835,0.00691358,0.101399177,0.094485597,10.32091029,142.5705025,0.842205382,0.430755983,0.00599177,0.070265745,0.161244413,0.046920821,0.279069767,0.47401148,0,1.7109375,1.7109375,0.197488584,female
0.182393249,0.051249619,0.177086093,0.148344371,0.208609272,0.060264901,1.035389794,3.255080783,0.908373947,0.418109416,0.177086093,0.182393249,0.141379501,0.048533873,0.255319149,0.2578125,0,0.75,0.75,0.5625,female
0.231524194,0.047356716,0.244213018,0.22035503,0.263100592,0.042745562,1.780221542,5.024229658,0.869839764,0.301596676,0.276023669,0.231524194,0.158193843,0.047666336,0.275862069,0.657628676,0.2109375,1.5703125,1.359375,0.303448276,female
0.087306798,0.076625343,0.065438202,0.020764045,0.14094382,0.120179775,3.85964389,23.07867364,0.929283118,0.661558171,0.006921348,0.087306798,0.116159359,0.047666336,0.279069767,1.041964286,0.84375,1.546875,0.703125,0.12745098,female
0.203981239,0.057795585,0.224856597,0.17292543,0.241453155,0.068527725,3.222703559,16.36291135,0.898319805,0.474726139,0.224856597,0.203981239,0.180026482,0.047571853,0.274285714,1.034254808,0.796875,1.546875,0.75,0.129111842,female
0.196700647,0.062046686,0.202810811,0.169513514,0.240648649,0.071135135,1.820654259,5.491430558,0.898629534,0.545492161,0.205837838,0.196700647,0.142973153,0.049535604,0.255319149,1.214488636,0.2109375,2.8359375,2.625,0.240178571,female
0.16422252,0.080703566,0.182819957,0.089284165,0.23626898,0.146984816,1.132210183,4.451482437,0.966426663,0.784430322,0.241735358,0.16422252,0.111559514,0.048192771,0.272727273,1.513020833,0.9375,1.875,0.9375,0.187857143,female
